Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Belgium","Area harvested","Almonds, in shell","2018","ha","0"
"Crops and livestock products","Belgium","Area harvested","Almonds, in shell","2019","ha","0"
"Crops and livestock products","Belgium","Area harvested","Almonds, in shell","2020","ha","0"
"Crops and livestock products","Belgium","Production","Almonds, in shell","2018","tonnes","0"
"Crops and livestock products","Belgium","Production","Almonds, in shell","2019","tonnes","0"
"Crops and livestock products","Belgium","Production","Almonds, in shell","2020","tonnes","0"
"Crops and livestock products","Belgium","Area harvested","Apples","2000","ha","8900"
"Crops and livestock products","Belgium","Area harvested","Apples","2001","ha","8800"
"Crops and livestock products","Belgium","Area harvested","Apples","2002","ha","8600"
"Crops and livestock products","Belgium","Area harvested","Apples","2003","ha","8395"
"Crops and livestock products","Belgium","Area harvested","Apples","2004","ha","8299"
"Crops and livestock products","Belgium","Area harvested","Apples","2005","ha","8900"
"Crops and livestock products","Belgium","Area harvested","Apples","2006","ha","8600"
"Crops and livestock products","Belgium","Area harvested","Apples","2007","ha","8500"
"Crops and livestock products","Belgium","Area harvested","Apples","2008","ha","8100"
"Crops and livestock products","Belgium","Area harvested","Apples","2009","ha","7700"
"Crops and livestock products","Belgium","Area harvested","Apples","2010","ha","7730"
"Crops and livestock products","Belgium","Area harvested","Apples","2011","ha","7752"
"Crops and livestock products","Belgium","Area harvested","Apples","2012","ha","7100"
"Crops and livestock products","Belgium","Area harvested","Apples","2013","ha","7100"
"Crops and livestock products","Belgium","Area harvested","Apples","2014","ha","7100"
"Crops and livestock products","Belgium","Area harvested","Apples","2015","ha","6865"
"Crops and livestock products","Belgium","Area harvested","Apples","2016","ha","6491"
"Crops and livestock products","Belgium","Area harvested","Apples","2017","ha","6164"
"Crops and livestock products","Belgium","Area harvested","Apples","2018","ha","5990"
"Crops and livestock products","Belgium","Area harvested","Apples","2019","ha","5790"
"Crops and livestock products","Belgium","Area harvested","Apples","2020","ha","5480"
"Crops and livestock products","Belgium","Yield","Apples","2000","hg/ha","612876"
"Crops and livestock products","Belgium","Yield","Apples","2001","hg/ha","382500"
"Crops and livestock products","Belgium","Yield","Apples","2002","hg/ha","405349"
