,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cauliflowers and broccoli,85100.0,81100.0,85800.0,95000.0,85682.0,86212.0,92000.0,92000.0,92800.0,88000.0,82340.0,99660.0,98100.0,96000.0,99200.0,110060.0,112706.0,129044.0,122340.0,127570.0,131900.0
Onions,28329.0,30680.0,32180.0,41125.0,41250.0,53020.0,55200.0,66200.0,72700.0,78300.0,80300.0,74500.0,74500.0,79000.0,102300.0,108250.0,130775.0,92850.0,105380.0,161310.0,176500.0
"Peas, dry",5900.0,6100.0,4900.0,8656.0,6150.0,4582.0,3451.0,3142.0,3531.0,5306.0,4600.0,3617.0,2300.0,1500.0,2587.0,3940.0,2595.0,2887.0,2560.0,2500.0,2520.0
Wheat,1687700.0,1457400.0,1675000.0,1640364.0,1913177.0,1768410.0,1661958.0,1577342.0,1850406.0,1909768.0,1849584.0,1687749.0,1834624.0,1803550.0,1994600.0,2019347.0,1400074.0,1702721.0,1661860.0,1902380.0,1741480.0
Eggplants (aubergines),2300.0,2600.0,2800.0,3500.0,3500.0,4200.0,3900.0,2800.0,4900.0,6700.0,8000.0,8800.0,7000.0,6200.0,7700.0,8100.0,8100.0,8100.0,10120.0,10580.0,11400.0
Grapes,800.0,400.0,400.0,450.0,500.0,509.0,550.0,100.0,90.0,100.0,255.0,654.0,932.0,1197.0,1510.0,1739.0,2240.0,2389.0,0.0,0.0,0.0
"Flax, processed but not spun",16200.0,8150.0,19440.0,24230.0,22215.0,18505.0,16500.0,14170.0,12170.0,13330.0,64044.0,44554.0,64402.0,67300.0,72800.0,80460.0,87162.0,69341.0,75860.0,94000.0,81660.0
Cantaloupes and other melons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canary seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Broad beans and horse beans, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabbages,143463.0,110000.0,113000.0,115000.0,107130.0,109950.0,114200.0,123500.0,116900.0,111600.0,104700.0,126900.0,124800.0,122800.0,106355.0,58250.0,108895.0,145240.0,122250.0,135780.0,145200.0
Strawberries,46000.0,41300.0,40000.0,41000.0,44000.0,42000.0,40500.0,41000.0,37400.0,33000.0,35000.0,37500.0,40500.0,35900.0,39300.0,48000.0,45000.0,47500.0,48000.0,48000.0,43200.0
Tomatoes,216280.0,233200.0,234400.0,250000.0,245900.0,229610.0,238200.0,222600.0,226200.0,232100.0,227680.0,218435.0,231830.0,249800.0,249300.0,253050.0,259535.0,255960.0,258680.0,270140.0,311500.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sugar beet,6152000.0,5613900.0,6537100.0,6449682.0,6215850.0,5983173.0,5666621.0,5746892.0,4713904.0,5186179.0,4464778.0,5408977.0,5438400.0,4809300.0,4790700.0,4532561.0,4021110.0,5941783.0,5192050.0,5071850.0,4783970.0
Carrots and turnips,148800.0,172000.0,231000.0,241800.0,301050.0,239400.0,235600.0,269800.0,288900.0,326100.0,314100.0,317400.0,317400.0,317400.0,328000.0,245400.0,385400.0,380000.0,323500.0,322300.0,258600.0
Pears,180700.0,88700.0,171200.0,176100.0,231020.0,229100.0,268400.0,286600.0,170500.0,280600.0,307270.0,284827.0,236400.0,305000.0,374300.0,374630.0,331550.0,301818.0,368830.0,332420.0,392590.0
Rape or colza seed,14200.0,18400.0,18300.0,16768.0,22895.0,24000.0,33976.0,40495.0,33228.0,41669.0,45665.0,52211.0,48431.0,60900.0,58500.0,50744.0,39452.0,46090.0,43300.0,33430.0,29910.0
"Broad beans and horse beans, dry",1200.0,1600.0,1400.0,1900.0,1900.0,2200.0,1800.0,1900.0,1500.0,2400.0,2600.0,2418.0,2223.0,2200.0,2705.0,2640.0,3442.0,3435.0,4450.0,5630.0,5020.0
"Beans, dry",1200.0,200.0,400.0,480.0,723.0,496.0,632.0,326.0,327.0,471.0,900.0,619.0,547.0,550.0,555.0,558.0,556.0,556.0,0.0,0.0,0.0
Maize (corn),397400.0,460900.0,530700.0,554743.0,637807.0,634088.0,575898.0,698899.0,858837.0,807866.0,745891.0,859692.0,701700.0,826984.0,662700.0,597169.0,480496.0,608671.0,376550.0,429220.0,421010.0
"Peas, green",69700.0,60400.0,73600.0,80278.0,78028.0,57808.0,60700.0,54000.0,54000.0,66500.0,61128.0,64428.0,67200.0,73200.0,79100.0,72840.0,65000.0,64578.0,62150.0,88920.0,70600.0
Barley,333400.0,368700.0,342700.0,270857.0,304777.0,301647.0,367348.0,374454.0,328768.0,452528.0,373400.0,339658.0,359100.0,385614.0,399970.0,434140.0,345559.0,381128.0,324120.0,401060.0,329470.0
