,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cauliflowers and broccoli,57067.0,57461.0,47404.0,58893.0,50444.0,48845.0,60386.0,52615.0,52997.0,49073.0,56774.0,58700.0,58800.0,57100.0,60010.0,55000.0,52000.0,55000.0,52000.0,49000.0,57000.0,53900.0,55700.0,59200.0,42000.0,62000.0,44000.0,50000.0,58300.0,57400.0,57800.0,65600.0,60400.0,59100.0,59000.0,56900.0,61400.0,52000.0,57500.0,52500.0,49500.0,53000.0,53000.0,55000.0,56000.0,52500.0,62000.0,66000.0,59000.0,60700.0,57000.0,53000.0,51000.0,52200.0,65500.0,62300.0,70400.0,70030.0,65710.0,69800.0
Onions,215424.0,209494.0,193311.0,217883.0,195970.0,190633.0,261099.0,266000.0,283991.0,338846.0,386342.0,335700.0,379000.0,386200.0,369400.0,326400.0,455000.0,487000.0,493000.0,433000.0,497400.0,564300.0,409800.0,457300.0,436600.0,497000.0,478200.0,452000.0,438800.0,497400.0,462485.0,568600.0,601800.0,611000.0,479139.0,623171.0,574518.0,652399.0,754786.0,821022.0,765340.0,816700.0,808800.0,1224700.0,1082000.0,942000.0,1085000.0,1236000.0,1269000.0,1302000.0,1540900.0,1353000.0,1310000.0,1379000.0,1504100.0,1449400.0,1779600.0,1264800.0,1737650.0,1701290.0
"Peas, dry",85795.0,70531.0,73000.0,68988.0,44395.0,34584.0,48386.0,35757.0,40095.0,38770.0,31042.0,10589.0,12427.0,23286.0,21917.0,15903.0,13232.0,18360.0,14400.0,14800.0,15297.0,28153.0,31773.0,56406.0,71290.0,124376.0,121552.0,108000.0,75000.0,61000.0,30000.0,22200.0,13900.0,10500.0,5000.0,7589.0,5100.0,5000.0,7100.0,6000.0,7000.0,7000.0,10000.0,10700.0,9800.0,4600.0,3400.0,4200.0,5600.0,4500.0,2053.0,2530.0,3000.0,3125.0,2508.0,2563.0,2563.0,0.0,0.0,0.0
Wheat,482130.0,603062.0,530320.0,712060.0,704000.0,598000.0,738587.0,678971.0,677181.0,643219.0,705799.0,673482.0,724577.0,745883.0,527793.0,709585.0,661173.0,792250.0,835600.0,882174.0,882055.0,967300.0,1042914.0,1131329.0,851034.0,940129.0,768850.0,827139.0,1046770.0,1076000.0,944146.0,1016791.0,1035000.0,981000.0,1167000.0,1268900.0,1063000.0,1072000.0,851400.0,1142700.0,990700.0,1056640.0,1130100.0,1223900.0,1174686.0,1184400.0,1018000.0,1366162.0,1402040.0,1369553.0,1175275.0,1302002.0,1335105.0,1304054.0,1300085.0,1016479.0,1054151.0,961920.0,1130530.0,931830.0
Eggplants (aubergines),5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4800.0,6700.0,7000.0,8500.0,8100.0,10000.0,11900.0,11700.0,15300.0,19000.0,20000.0,20600.0,25000.0,26600.0,30200.0,29400.0,34800.0,34200.0,35300.0,36900.0,35900.0,37000.0,38000.0,33000.0,31000.0,33000.0,39000.0,41000.0,42000.0,40000.0,41000.0,43000.0,46000.0,46000.0,46000.0,47000.0,48000.0,51000.0,53000.0,54000.0,53000.0,55000.0,62000.0,65000.0
Grapes,9008.0,8278.0,6673.0,6239.0,6164.0,5110.0,6460.0,5682.0,4713.0,4927.0,4280.0,3700.0,3200.0,3100.0,2600.0,1900.0,1800.0,1600.0,1300.0,1200.0,1100.0,900.0,900.0,700.0,600.0,1000.0,1000.0,1000.0,400.0,500.0,500.0,400.0,300.0,300.0,300.0,300.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,470.0,680.0,730.0,860.0,875.0,880.0,805.0,751.0,689.0,593.0,306.0,300.0,350.0,400.0,1700.0,1600.0,1700.0
"Flax, processed but not spun",27294.0,30304.0,33812.0,39454.0,26544.0,20259.0,12804.0,13035.0,11033.0,5287.0,9906.0,8609.0,6305.0,8564.0,5090.0,4914.0,6700.0,9500.0,6300.0,6800.0,5200.0,5500.0,21000.0,32000.0,36000.0,25000.0,32000.0,31967.0,31341.0,40000.0,35000.0,20135.0,26700.0,34400.0,34000.0,28800.0,35317.0,19500.0,27700.0,30860.0,24712.0,24700.0,26700.0,27400.0,26800.0,22400.0,14200.0,13331.0,14597.0,10519.0,7954.0,13290.0,11237.0,10310.0,14191.0,13764.0,10224.0,8780.0,13360.0,7350.0
Cantaloupes and other melons,5330.0,5073.0,4723.0,5182.0,5475.0,3795.0,5041.0,5574.0,3645.0,3521.0,3878.0,3400.0,2700.0,3200.0,3400.0,4200.0,3000.0,3100.0,3000.0,3000.0,3000.0,3800.0,4800.0,5600.0,3500.0,4000.0,3600.0,3100.0,3200.0,4500.0,3300.0,2700.0,2900.0,2300.0,1600.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2030.0,2095.0,2200.0,2300.0,2292.0,2286.0,2276.0,2267.0,2269.0,2195.0,2089.0,2184.0,2156.0,2143.0,0.0,0.0,0.0
Canary seed,2301.0,5741.0,1311.0,469.0,69.0,12.0,2.0,2.0,1800.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Broad beans and horse beans, green",16413.0,20093.0,17393.0,14009.0,13290.0,10278.0,17934.0,18609.0,16757.0,14850.0,23137.0,25600.0,18300.0,21200.0,20280.0,15000.0,14200.0,12800.0,13500.0,14000.0,14000.0,13000.0,11000.0,12000.0,12600.0,12400.0,11000.0,8000.0,8400.0,10300.0,10800.0,8600.0,13100.0,13000.0,12500.0,13500.0,17900.0,6000.0,5000.0,4000.0,5400.0,6000.0,6000.0,5500.0,4000.0,4000.0,4000.0,7500.0,6000.0,7000.0,9000.0,3500.0,3300.0,3500.0,3500.0,3500.0,3200.0,3770.0,5130.0,3270.0
